freeze_id,file_path,relative_path,file_size_bytes,sha256,archive_group,included_in_git,included_in_local_backup,notes
data_freeze_gold_20260526_v1,D:\Hao\Desktop\冰冻圈水文\北极大河\arctic_doc_data_audit\README.md,README.md,14438,47ff114d067c2df32beaf7fe5aa8980fa4871f29ea19ccf85e2bcef5ffed2f73,readme,True,True,
data_freeze_gold_20260526_v1,D:\Hao\Desktop\冰冻圈水文\北极大河\arctic_doc_data_audit\configs\hydrosheds_full.yaml,configs/hydrosheds_full.yaml,1922,4ee46c58e8f5669051fda91765dbb06b0dd2f746c0cde4ed9d7150b1dc9b6ff1,config,True,True,
data_freeze_gold_20260526_v1,D:\Hao\Desktop\冰冻圈水文\北极大河\arctic_doc_data_audit\configs\quality_rules.yaml,configs/quality_rules.yaml,838,0985815bebaf74b7bac4bba267bc6409250d7953c2edcb6417f59b185662a888,config,True,True,
data_freeze_gold_20260526_v1,D:\Hao\Desktop\冰冻圈水文\北极大河\arctic_doc_data_audit\configs\rivers.yaml,configs/rivers.yaml,3086,81879611cb254682866cfd2a327979dee3cd133fe4849ecdc8cf6cb80a0fe6e6,config,True,True,
data_freeze_gold_20260526_v1,D:\Hao\Desktop\冰冻圈水文\北极大河\arctic_doc_data_audit\configs\schema.yaml,configs/schema.yaml,3496,48bf2097434be13441421854ab1984cee51e0cd1ae762ed6f95142f06f73dbfd,config,True,True,
data_freeze_gold_20260526_v1,D:\Hao\Desktop\冰冻圈水文\北极大河\arctic_doc_data_audit\configs\sources.yaml,configs/sources.yaml,22057,f1d14960cbf17643a0d38c42ae0287c39616de7db5bc82ddbdbfad84d6bfbeaf,config,True,True,
data_freeze_gold_20260526_v1,D:\Hao\Desktop\冰冻圈水文\北极大河\arctic_doc_data_audit\data\manifests\file_manifest.csv,data/manifests/file_manifest.csv,458540,b82987c01a60e2a50ae3751c5c0991d263d502b4b14d848dcb4925424a411f29,manifest,True,True,
data_freeze_gold_20260526_v1,D:\Hao\Desktop\冰冻圈水文\北极大河\arctic_doc_data_audit\data\manifests\source_registry.csv,data/manifests/source_registry.csv,11108,29c14987213733936b9287357eacd92acdcbad0779b829c83727cb50ed2239f5,manifest,True,True,
data_freeze_gold_20260526_v1,D:\Hao\Desktop\冰冻圈水文\北极大河\arctic_doc_data_audit\data\processed\gold\basin_attributes_curated.csv,data/processed/gold/basin_attributes_curated.csv,83075,6e4d18f8acd58f90a1563b89692e7030fa0464ce7ebdd6a38a4691538a27b171,gold_table,False,True,gold CSV remains local and gitignored
data_freeze_gold_20260526_v1,D:\Hao\Desktop\冰冻圈水文\北极大河\arctic_doc_data_audit\data\processed\gold\basin_attributes_curated_wide.csv,data/processed/gold/basin_attributes_curated_wide.csv,3631,17d4197092bb423ba23a4451521ead9b8416212d4daadc173dd871548b0d9d77,gold_table,False,True,gold CSV remains local and gitignored
data_freeze_gold_20260526_v1,D:\Hao\Desktop\冰冻圈水文\北极大河\arctic_doc_data_audit\data\processed\gold\basin_context_gold.csv,data/processed/gold/basin_context_gold.csv,16405,9910dd6e37df1034e572ae11f468727e1024f7cd398b38ee0e8b6521a5a6e96d,gold_table,False,True,gold CSV remains local and gitignored
data_freeze_gold_20260526_v1,D:\Hao\Desktop\冰冻圈水文\北极大河\arctic_doc_data_audit\data\processed\gold\daily_discharge_gold.csv,data/processed/gold/daily_discharge_gold.csv,29115877,a351eb43849fda32881890beb77ba84ed74e8b99f382e9cfe38b527b74ac4908,gold_table,False,True,gold CSV remains local and gitignored
data_freeze_gold_20260526_v1,D:\Hao\Desktop\冰冻圈水文\北极大河\arctic_doc_data_audit\data\processed\gold\daily_hydroclimate_gold.csv,data/processed/gold/daily_hydroclimate_gold.csv,23071138,26722d1cfef703b353a13ffd2ff5209c5e5a073290ff1a09223beb09af7b55fe,gold_table,False,True,gold CSV remains local and gitignored
data_freeze_gold_20260526_v1,D:\Hao\Desktop\冰冻圈水文\北极大河\arctic_doc_data_audit\data\processed\gold\doc_labels_gold.csv,data/processed/gold/doc_labels_gold.csv,213218,ac0935691515952075b455061cff9ef8a04f5b58ccdd127e9e5ca6e06c8f6b71,gold_table,False,True,gold CSV remains local and gitignored
data_freeze_gold_20260526_v1,D:\Hao\Desktop\冰冻圈水文\北极大河\arctic_doc_data_audit\data\processed\gold\lab_optical_proxy_gold.csv,data/processed/gold/lab_optical_proxy_gold.csv,323529,4db6f16f4ee980fe7e7292f73bae780932a0d0c14ba20dee5fd1b69bea986139,gold_table,False,True,gold CSV remains local and gitignored
data_freeze_gold_20260526_v1,D:\Hao\Desktop\冰冻圈水文\北极大河\arctic_doc_data_audit\data\processed\gold\optical_match_candidates_0d.csv,data/processed/gold/optical_match_candidates_0d.csv,391928,a33816123ffb3b1d8cc63e1ba326f8ad29eb84b2f17de882097f63ee901d6758,gold_table,False,True,gold CSV remains local and gitignored
data_freeze_gold_20260526_v1,D:\Hao\Desktop\冰冻圈水文\北极大河\arctic_doc_data_audit\data\processed\gold\optical_match_candidates_1d.csv,data/processed/gold/optical_match_candidates_1d.csv,1200657,e7c458a67b95a218b56616e10189c905755318ad4fc32228ed3676f916e71491,gold_table,False,True,gold CSV remains local and gitignored
